fein,employer_name,lca_count,certified_count,worksite_cities
47-4473368,SOFTSTANDARD SOLUTIONS LLC,2,2,Rolling Meadows
47-4361714,Weee! Inc.,2,2,Hodgkins
47-4319823,"Zelis Healthcare, LLC",2,2,Chicago
47-4023875,"City View Multicare Center, LLC",2,1,Cicero
47-3828608,I2C BUSINESS SOLUTIONS INC.,2,2,SKOKIE
47-3298624,Hewlett Packard Enterprise Company,2,2,"EVANSTON,Hoffman Estates"
47-3124057,2 CUTE CLOTHING CORPORATION,2,1,MOKENA
47-2573795,"AVEVA SOFTWARE, LLC",2,2,Chicago
47-2434266,KNACK NY INC,2,2,Chicago
47-2410840,"Tianyu Arts & Culture, Inc",2,2,Chicago
47-2369532,"Beeline Group, LLC",2,2,Elk Grove Village
47-2055586,CGINFOSYS INC,2,2,"Arlington Heights,Chicago"
47-2024034,"Inomagen Therapeutics, Inc",2,1,Chicago
47-1654628,ACCIONA ENERGY USA GLOBAL LLC,2,2,"CHICAGO,Chicago"
47-1594664,"TOP EDGE TECHNOLOGY, INC.",2,2,"Chicago,Schaumburg"
47-1324071,Shiv Donuts Inc (DBA Dunkin),2,1,Summit
47-0772478,CSG Systems Inc. d/b/a CSG,2,2,"Des Plaines,Schaumburg"
46-5380558,"Havensight Consulting Group, LLC",2,2,Chicago
46-4632966,"BIZCLOUD ANALYTICS, INC.",2,2,Chicago
46-4452602,Elite RF LLC,2,2,Hanover Park
46-4396789,"ML Group Design & Development, LLC",2,2,Skokie
46-4364776,"Robinhood Markets, Inc.",2,2,Chicago
46-3807577,Ed Miniat LLC,2,2,"Chicago,South Holland"
46-3757757,PalmDrive Inc.,2,2,Chicago
46-3245864,Reproductive Genetic Innovations LLC,2,2,Northbrook
46-3122413,LifeSpeed Behavioral Support Services LLC,2,2,Forest Park
46-2954863,"Cloud 9 Solutions, LLC",2,2,Chicago
46-2750048,Golden Arcus Int'l Co,2,2,Franklin Park
46-2706284,"Pellegrino, Saccomani & Wells, CPA's, LLP",2,2,Rolling Meadows
46-2637149,TEQLOGICA CORPORATION,2,2,Chicago
46-2623360,"All Kids Dental Center, LLC",2,2,Chicago
46-2014860,"Maximum Healthcare Solutions, Inc.",2,2,Alsip
46-1915233,"Velocity Global, LLC",2,2,"Chicago,Schaumburg"
46-1807073,HYR GLOBAL SOURCE INC,2,2,"HOFFMAN ESTATES,CHICAGO"
46-1711470,VHL Technologies Inc,2,2,Chicago
46-1199057,Novacare Services Inc.,2,1,Hillside
46-1105421,"ROCKET TRAVEL, INC.",2,2,Chicago
46-1095755,OneMain General Services Corporation,2,2,"Des Plaines,Apt.#1"
46-0936302,iCodice LLC,2,2,Rolling Meadows
46-0833969,INVICKTUS INC,2,2,ELK GROVE VILLAGE
46-0760246,"Smart Energy Systems, Inc.",2,2,Hoffman Estates
46-0636226,By Discovery LLC,2,2,Oak Park
46-0524950,"Goldwind USA, Inc.",2,2,Chicago
45-5403273,VIATechnik LLC,2,2,Chicago
45-5293997,"Coinbase, Inc.",2,2,Chicago
45-5189216,SAIPSIT INC,2,2,Rosemont
45-5107574,"Cyclone Group, P.C.",2,2,Chicago
45-5084440,"H and S Health Specialists, LLC",2,1,Chicago
45-4572126,"Sapphire Software Solutions, Inc.",2,2,"Chicago,SCHAUMBURG"
45-4411958,"INCEDO, INC.",2,2,Schaumburg
45-4168768,"Toast, Inc.",2,2,"Mount Prospect,Chicago"
45-3719567,Adelfia LLC,2,2,Chicago
45-2780105,Wellmax usa corp,2,2,Elk Grove Village
45-2741854,Phoenix Tree Publishing Inc.,2,2,Chicago
45-2700157,E-GIANTS TECHNOLOGIES LLC,2,2,"CHICAGO,DESPLAINES"
45-2546501,"Reddit, Inc.",2,2,"Glenview,Chicago"
45-2477042,Housecall Physicians of Illinois d/b/a MD at Home,2,2,Chicago
45-2053787,UNIKPROS INC,2,2,CHICAGO
45-2046738,"Coherent Economics, LLC",2,2,Chicago
43-1339487,"Amdocs, Inc.",2,2,"CHICAGO,Chicago"
43-0820871,"Hallmark Marketing Company, LLC",2,2,Schaumburg
42-1612910,"United States Drug Testing Laboratory, Inc.",2,2,Des Plaines
42-1446986,"Quality Consulting, Inc.",2,1,Chicago
42-1249917,"Terracon Consultants, Inc.",2,2,"Schaumburg,Chicago"
42-1080796,"Wells Enterprises, Inc.",2,2,Chicago
41-6034000,BNSF Railway Company,2,1,Chicago
41-2139945,Dental Experts LLC,2,2,"Blue Island,Chicago"
41-1877565,"Benefit Resource, Inc.",2,2,Chicago
41-1684205,BRAUN INTERTEC CORPORATION,2,2,CHICAGO
41-0882483,"Ryan Companies US, Inc.",2,2,Chicago
41-0793183,"Medtronic, Inc.",2,2,Chicago
41-0793046,"American Academy of Dermatology, Inc.",2,1,Rosemont
41-0129150,Archer Daniels Midland Company,2,2,Chicago
39-2049523,"Tiles In Style, LLC",2,2,South Holland
39-1821626,"Eversana Life Science Services, LLC",2,2,Chicago
39-1474120,"Michaels Energy, Inc.",2,2,Chicago
39-1385474,"Rams Contracting, Ltd",2,2,Chicago
38-4199073,Jarvis Business Solutions LLC,2,2,Chicago
38-3935920,ABOTTS Consulting Inc,2,2,Chicago
38-3869170,Mondelez Global LLC,2,2,Chicago
38-3519215,ICONMA LLC,2,2,Chicago
38-3316472,"Millennium Software, Inc.",2,2,Chicago
38-3056583,HTC GLOBAL SERVICES INC.,2,2,Chicago
37-2006445,Suwan PD Group LLC,2,1,"Chicago,CHICAGO"
37-1979733,Dar-US Inc.,2,1,Westchester
37-1777845,"Nymbus, Inc.",2,2,Chicago
37-1770789,"Cyclotron, Inc.",2,1,Oak Park
37-1766312,BRIDGE LEGAL TECHNOLOGY LLC,2,2,Chicago
37-1748652,"Retail Insight U.S., Inc.",2,2,Chicago
37-1703874,"Starcom Worldwide, Inc.",2,2,Chicago
37-1572701,"Path Construction Company, Inc.",2,2,"ARLINGTON HEIGHTS,Arlington Heights"
37-1457090,US SOFTWARE PROFESSIONALS INC,2,2,Chicago
37-0813229,OSF Healthcare System,2,2,Evergreen Park
36-6000085,Thorek Memorial Hospital,2,2,Chicago
36-4741451,"VERSA NETWORKS, INC.",2,2,Chicago
36-4519916,"Simplex Investments, LLC",2,2,Chicago
36-4476321,Consolidated Trading LLC,2,2,Chicago
36-4468621,"Milhouse Engineering & Construction, Inc.",2,2,Chicago
36-4437241,"Adage Technologies, Inc.",2,2,Chicago
36-4434050,ISM SOUND CONSULTING CORPORATION,2,1,Chicago
36-4414329,"Sigenics, Inc.",2,2,Chicago
36-4409756,"Socius Ingredients, LLC",2,2,"Chicago,Evanston"
36-4397860,"Site Design Group, Ltd.",2,2,Chicago
36-4397726,"OpticsPlanet, Inc.",2,2,Northbrook
36-4391340,Sharpedge Solutions Inc,2,2,"Northbrook,Chicago"
36-4369576,"ERESOURCES CONSULTANTS, INC.",2,2,Schaumburg
36-4367074,Palantir.net Inc.,2,2,Chicago
36-4340961,"IBT Group, LLC",2,2,Chicago
36-4340266,Chicago Mercantile Exchange Inc.,2,2,Chicago
36-4270412,"TEAMS Design USA, Inc.",2,2,Chicago
36-4246600,"Plato Academy, Incorportated",2,2,Des Plaines
36-4238777,"Steven Spector, LLC",2,2,Northbrook
36-4234909,Brook Architecture Incorporated,2,1,Chicago
36-4226928,AdvanSoft International Inc,2,2,Chicago
36-4225633,Pan-Oceanic Engineering Co.,2,2,Chicago
36-4221605,"THE MARTIN-BROWER COMPANY,L.L.C.",2,2,Rosemont
36-4172640,"PEAK6 Capital Management, LLC",2,2,Chicago
36-4156327,Freedom Solutions Group LLC,2,1,Chicago
36-4077368,VIVA USA INC.,2,2,Rolling Meadows
36-4035882,"Autumn Construction Services, Inc.",2,2,Chicago
36-4019827,RAPP Illinois Inc.,2,2,CHICAGO
36-3990452,Novatio Solutions LLC,2,2,"ROLLING MEADOWS,Chicago"
36-3976708,"DWS Distributors, Inc.",2,2,Chicago
36-3962593,"Leo J. Shapiro & Associates, LLC",2,2,Chicago
36-3948996,"Insight Direct USA, Inc",2,2,Chicago
36-3936382,GAW Paper Coating Systems Inc.,2,2,Chicago
36-3926347,"Prairie Management & Development, Inc.",2,2,Chicago
36-3917413,"UrbanWorks, Ltd",2,2,Chicago
36-3890067,"Dresner Investment Services, Inc.",2,2,Chicago
36-3849901,"Small Business AccounTax, Ltd",2,2,"CHICAGO,Chicago"
36-3752338,KAN-WIN,2,1,Park Ridge
36-3739782,COMPSYCH MANAGEMENT CORPORATION,2,2,CHICAGO
36-3734087,"PAN ETHNIC INTERNATIONAL, INC.",2,2,Chicago
36-3707712,"GAM ENTERPRISES, INC.",2,2,Mount Prospect
36-3548575,Quantitative Risk Management Inc.,2,2,"Northbrook,Chicago"
36-3484503,American Labelmark Company Inc.,2,2,Chicago
36-3481016,"National Council of State Boards of Nursing, Inc.",2,2,Chicago
36-3468939,"Christopher B. Burke Engineering, Ltd.",2,2,Rosemont
36-3429602,Mesirow Financial,2,2,Chicago
36-3258696,National Council of Young Mens Christian Associations of the United States of America,2,2,Chicago
36-3168093,South-East Asia Center,2,2,Chicago
36-3166087,Fuchs Lubricants Co.,2,2,Harvey
36-3165679,Palm USA Inc,2,2,Chicago
36-3164138,"RUBINOS AND MESIA ENGINEERS, INC.",2,2,CHICAGO
36-3155049,The Corporation for Interest Rate Management,2,2,Chicago
36-3088628,"Erie Family Health Center, Inc.",2,2,Chicago
36-3032807,A.L.L. Masonry Construction Co. Inc.,2,2,Cicero
36-3000577,"Goettsch Partners, Inc.",2,2,Chicago
36-2984043,"Chinese American Service League, Inc.",2,2,Chicago
36-2930649,"ALICIA INTERNATIONAL, INC.",2,2,NILES
36-2792796,"Assemblers, Inc.",2,2,Chicago
36-2785090,E.J. Basler Co.,2,2,Schiller Park
36-2746468,The Hana Center,2,2,Chicago
36-2704011,"ECS FINANCIAL SERVICES, INC.",2,2,Northbrook
36-2580815,Chicago State University,2,2,Chicago
36-2425517,ALLIED TUBE AND CONDUIT CORPORATION,2,2,Harvey
36-2388872,"Chicago Blackhawks Hockey Team, Inc.",2,2,Chicago
36-2382849,Metropolitan Planning Council,2,1,Chicago
36-2368817,Daniel J. Edelman Inc.,2,2,Chicago
36-2361295,"Waltz Brothers, Inc.",2,2,Wheeling
36-2284619,Georgia Nut Company,2,1,Skokie
36-2235165,Presence Chicago Hospitals Network,2,2,Chicago
36-2183817,Society of the Divine Word,2,2,Wheeling
36-2169122,IIT Research Institute,2,2,Chicago
36-2167796,Government Finance Officers Association,2,2,Chicago
36-2167792,Moody Bible Institute,2,2,Chicago
36-2137456,Baker & McKenzie LLP,2,2,Chicago
36-1892375,Underwriters Laboratories Inc.,2,2,Skokie
36-1717960,"Joseph T. Ryerson & Son, Inc.",2,2,Chicago
36-0848180,Brunswick Corporation,2,2,Chicago
35-2195232,"gulaid consulting engineers, P.C.",2,2,schaumburg
33-4131516,STREAMLINE ENGINEERING LLC,2,2,Schaumburg
33-3951104,Full Arts Cultural Corporation,2,1,Chicago
33-3025982,COGNIT AI INC,2,2,Schaumburg
33-2785606,Econic Partners US LLC,2,2,Chicago
33-1726139,INFLUENCEN INC.,2,2,CHICAGO
33-1158582,"Elman Law Group, LLC",2,2,Chicago
32-0619311,"Foundry Digital, LLC",2,2,Chicago
32-0503465,Morningstar Research Services LLC,2,2,Chicago
30-1283598,NEONSOFT INC,2,2,CHICAGO
30-1094413,KAFURING MANAGEMENT USA LLC,2,2,Chicago
30-0835489,Wellington Management Company LLP,2,2,Chicago
30-0717374,"OpenGov, Inc.",2,2,Chicago
30-0004388,Dash Financial Technologies LLC,2,2,Chicago
27-4348005,Kellie Rinehart-Rice LCPC Ltd,2,2,Chicago
27-4240871,"Curebit, Inc.",2,1,Chicago
27-4035731,Langdon Partners LLC,2,2,Chicago
27-3727214,"ADP Technology Services, Inc.",2,2,"Elk Grove Village,Deerfield"
27-3572632,DFS Corporate Services LLC,2,2,Chicago
27-3290113,SIGMA SOFTWARE LLC,2,2,CHICAGO
27-2122990,"Ryan Specialty, LLC",2,2,Chicago
27-1887399,"THE TRADE DESK, INC.",2,2,Chicago
27-1769318,"RWE Supply and Trading Americas, LLC",2,2,Chicago
27-1722578,Softal Technologies LLC,2,2,Chicago
27-0610241,"NextGen Global Resources, LLC",2,2,Chicago
27-0221601,"Millennium Advisors, LLC",2,2,Chicago
27-0007828,"United Software Group, Inc.",2,2,Chicago
26-4728190,Ginsberg Jacobs LLC,2,2,Chicago
26-4682142,CKL Engineers LLC,2,2,Chicago
26-4390865,"Invoca, Inc.",2,1,Chicago
26-4327306,Chicago Roof Deck and Garden,2,1,Chicago
26-4175727,"Okta, Inc.",2,2,"Arlington Heights,Chicago"
26-3972334,"Gorilla Paper, Inc.",2,2,Elk Grove Village
26-3926825,VEN SOLUTIONS LLC,2,2,CHICAGO
26-3837343,ZTEK CONSULTING INC,2,2,CHICAGO
26-3399553,SRAM LLC,2,2,Chicago
26-2135579,Collaborate Solutions Inc.,2,2,Chicago
26-2045518,"American Technology Consulting, LLC",2,2,Chicago
26-2000001,"AArete, LLC",2,2,Chicago
26-1866627,"Center for Computational Science Research, Inc.",2,2,Chicago
26-1765515,"Antra, Inc.",2,2,Chicago
26-1760794,CIC North America Inc.,2,2,Rolling Meadows
26-1658811,Pivotree USA Inc.,2,2,Chicago
26-1173892,"Zscaler, Inc.",2,2,"Chicago,Evanston"
26-0852181,The Stepping Stones Group LLC,2,2,CHICAGO
26-0845325,KASTECH SOLUTIONS LLC,2,2,Schaumburg
26-0338445,Glassdoor LLC,2,2,"Mount Prospect,Wheeling"
26-0129478,"Indeed, Inc.",2,2,Chicago
26-0106960,"PHOTON INFOTECH, INC.",2,2,CHICAGO
25-1873382,"Mastech Digital Technologies, Inc.",2,2,CHICAGO
25-1723345,"Wesco Distribution, Inc.",2,2,Glenview
25-0687550,"National Union Fire Insurance Company of Pittsburgh, Pa.",2,2,Chicago
23-7072156,"Particulate Solid Research, Inc.",2,2,Chicago
23-1352166,The Children's Hospital of Philadelphia,2,2,Chicago
22-3793796,"ASTIR IT SOLUTIONS, INC",2,2,Mount Prospect
22-3338103,"Artech, LLC",2,2,Chicago
22-3093525,"Ascendion, Inc. (Formerly known as Collabera, Inc.)",2,2,Chicago
22-3045170,Energy BBDO Inc.,2,2,Chicago
22-2379300,Wilson Sporting Goods Co.,2,2,"Schiller Park,Chicago"
22-2232264,"Aon Consulting, Inc.",2,2,Chicago
20-8940055,"Mars Wrigley Confectionery US, LLC",2,2,Chicago
20-8782096,"Cumming Management Group, Inc.",2,2,Chicago
20-8757725,KOS Services LLC,2,2,"Chicago,CHICAGO"
20-5952481,"Pure Edge Lighting, LLC",2,2,Chicago
20-5320876,"Blue Vista Capital Management, LLC",2,1,Chicago
20-4971179,"Prospect Infosystem, Inc.",2,2,Chicago
20-4714798,"APFS, LLC",2,2,CHICAGO
20-4688357,"Coyote Logistics, LLC.",2,2,Chicago
20-4624920,"Infojini, Inc",2,1,Chicago
20-4530702,Refinitiv US LLC,2,2,"Chicagol,Chicago"
20-4475785,"Fernwood Management, LLC",2,2,Rosemont
20-4324686,KeywordFirst LLC,2,2,Schaumburg
20-4223984,"APS Consulting, Inc.",2,2,Chicago
20-3835700,Generic Solutions Inc,2,2,Chicago
20-3783731,"NYSE Market (DE), Inc.",2,2,Chicago
20-3741753,"Rodney J Benson PhD and Associates, LLC",2,2,Chicago
20-3491774,Isite Technologies Inc.,2,2,Chicago
20-3404106,"Vigna, Inc",2,2,Schuamburg
20-3257078,Adbakx LLC,2,2,"Prospect Heights,Chicago"
20-3014069,"PCMI, LLC",2,2,Park Ridge
20-2361323,CSG Computer Support Group Inc,2,2,"Buffalo Grove,BUFFALO GROVE"
20-2026659,Smart Solutions Inc.,2,2,Arlington Heights
20-1821766,"Brillio, LLC",2,2,Chicago
20-1687483,"Informatic Technologies, Inc.",2,2,Chicago
20-1669002,"ARxIUM, Inc.",2,1,Buffalo Grove
20-1508223,HD Consulting Inc DBA Hanzo Labs,2,2,Schaumburg
20-1001796,Ally Bank,2,2,Chicago
20-0951539,Adex Medical Staffing LLC,2,2,"Chicago,Evanston"
20-0895273,"Actonia, Inc.",2,2,Chicago
20-0524436,"Celergo, LLC",2,2,"Schaumburg,Elk Grove Village"
20-0362763,HSBC Technology & Services (USA) Inc.,2,2,"Chicago,Arlington Heights"
20-0080999,"Kim, Shin, Park & Company",2,1,SCHAUMBURG
13-6094431,"Hatch Associates Consultants, Inc.",2,2,Chicago
13-5133500,Deloitte LLP,2,2,Chicago
13-4363832,Escarpita Construction Company Inc,2,2,Franklin Park
13-4024222,"AFFINITY SOLUTIONS, INC.",2,2,CHICAGO
13-4008324,PRICEWATERHOUSECOOPERS LLP,2,2,Chicago
13-3974557,"Fitch Solutions, Inc.",2,2,Chicago
13-3967340,Rakuten Marketing LLC,2,2,Chicago
13-3621430,Sapiens Americas Corporation,2,2,"Palatine,Arlington Heights"
13-3571598,GOLDMAN SACHS BANK USA,2,2,Chicago
13-3362547,FactSet Research Systems Inc.,2,2,Chicago
13-2696410,"Mediterranean Shipping Company (USA), Inc.",2,2,Chicago
13-2595219,Verizon Data Services LLC,2,2,Rolling Meadows
13-1979873,NTN Bearing Corporation of America,2,2,Mount Prospect
13-1788491,"AMERICAN CANCER SOCIETY, INC.",2,2,"CHICAGO,Chicago"
13-1730785,WSP USA BUILDINGS INC.,2,2,"CHICAGO,Chicago"
11-3662046,"Olam Americas, LLC",2,2,Chicago
05-0412693,"Citizens Financial Group, Inc.",2,2,Chicago
04-3705970,"Teladoc Health, Inc.",2,2,"Chicago,CHICAGO"
04-3625303,"Ujamaa Construction, Inc.",2,1,Chicago
04-3496741,Beacon Hill Solutions Group LLC,2,2,Chicago
04-3461392,eClinicalWorks LLC,2,2,Chicago
03-0590313,Endurance Warranty Services LLC,2,2,Northbrook
03-0503751,CONCEPT SCHOOLS NFP,2,2,CHICAGO
02-0712418,Ariel Investments LLC,2,2,Chicago
01-0842920,CELER SYSTEMS INC,2,2,Palatine
99-4826834,Ams Tec Solutions LLC,1,1,Schaumburg
99-4266149,"UPC Park, Inc.",1,1,Chicago
99-3714491,FoodTraceAI LLC,1,1,Chicago
99-3583423,LUXVUE REALTY LLC,1,1,Chicago
99-3446014,ORIGINTEK SOLUTIONS LLC,1,1,Chicago
99-3219781,EFESO Management Consultants,1,1,Chicago
99-2819799,HAZ HEALTH PLLC,1,1,CHICAGO
99-2502539,Aria InfoTek LLC,1,1,Hoffman Estates
99-2340104,"WeJob HR Solutions, LLC.",1,1,Evanston
99-1507664,"Tek Grove, LLC",1,1,Chicago
99-1371235,SMG HUNTER LLC,1,1,SCHAUMBURG
99-1362189,CRESTVIEW LEGAL LLC,1,1,Chicago
99-0993898,"Chicago Club Management Company, LLC",1,1,BANNOCKBURN
99-0929659,TOLEAD LOGISTICS ORD,1,1,Franklin Park
99-0693313,Nexify Infosystems LLC,1,1,Chicago
99-0668010,"Aqua Lotus Holdings, LLC",1,1,Chicago
99-0588519,Samhires LLC,1,1,Skokie
99-0583721,Crystal Smile Medical Solutions Inc,1,1,Chicago
99-0483840,Pathlit LLC,1,1,Chicago
99-0481065,BRIGHT MIND SOLUTIONS LLC.,1,1,CHICAGO
99-0368536,"Fever Labs, Inc.",1,1,Chicago
99-0368091,"Neo4j, Inc.",1,1,Chicago
98-0633207,Ethoca LLC,1,1,Chicago
98-0417630,"Vision33, Inc.",1,1,Chicago
95-4774688,"Stride, Inc.",1,1,Chicago
95-4552870,"Red Bull North America, Inc.",1,1,Chicago
95-3926637,"Building Material Distributors, Inc.",1,1,Chicago
95-3846438,"Abacus Data Systems, Inc. d/b/a CARET",1,1,Chicago
95-2956941,"Tokio Marine Highland Insurance Services, Inc.",1,1,Chicago
95-2890599,"Hyspan Precision Products, Inc.",1,1,South Holland
95-2879539,"NATIONAL ECONOMIC RESEARCH ASSOCIATES, INC.",1,1,Chicago
95-2795851,East West Bank,1,1,Chicago
95-2775732,"Environmental Systems Research Institute, Inc. (Esri)",1,1,Chicago
95-2770395,"Houlihan Lokey, Inc.",1,1,Chicago
95-2536378,Mastercard International Incorporated,1,1,Chicago
95-1780806,Loeb & Loeb LLP,1,1,Chicago
95-1780067,City National Bank,1,1,Schaumburg
94-3458670,JSYS Technologies LLC,1,1,Hoffman Estates
94-3436193,YL Law Firm LLC,1,0,Chicago
94-3261978,ONWARD TECHNOLOGIES INC,1,1,Rosemont
94-3207296,McKesson Corporation,1,1,Mokena
94-3197174,"Asurion, LLC",1,1,Chicago
94-3161281,"Crystal Dynamics, Inc.",1,1,Chicago
94-3155495,"Natural Resources Consulting Engineers, Inc.",1,1,Chicago
94-3120525,"Genesys Cloud Services, Inc.",1,1,Chicago
94-3073200,"WeDriveU, Inc.",1,1,Chicago
94-3061570,"Flextronics International USA, Inc.",1,1,Buffalo Grove
94-2867244,"PERI Formwork Systems, Inc.",1,1,Chicago
94-2810519,Logitech Inc.,1,1,Chicago
94-2711707,AMERICAN COUNCIL FOR AN ENERGY-EFFICIENT ECONOMY,1,1,CHICAGO
94-2536513,Aspire Bakeries LLC,1,1,Chicago
94-1672743,Intel Corporation,1,1,Chicago
94-1160950,SRI International,1,1,Chicago
94-1156365,"The Leland Stanford, Jr University",1,1,Schaumberg
94-1081436,HP Inc.,1,1,Chicago
93-4685731,ERPVIZ LLC,1,1,Chicago
93-4658195,Yanwen Express LLC,1,1,Mt Prospect
93-4362081,Collinear Ai Inc.,1,1,Evanston
93-4308588,F/m Investments LLC,1,1,Chicago
93-4210031,Hitachi Digital Services LLC,1,1,Chicago
93-3996105,Zuza Logistics LLC,1,1,Summit Argo
93-3983686,"Coast Consulting, Inc.",1,1,Lombard
93-3878636,"NIJC, NFP",1,1,Chicago
93-3875538,Sybaris Hospitality LLC,1,1,Arlington Heights
93-3476966,"Realty of America, LLC",1,1,Berwyn
93-3436193,YL Law Firm LLC,1,1,Chicago
93-3191139,"Fortune Brands Innovations Group, Inc.",1,1,Chicago
93-2974124,"Ottobooks, Inc.",1,1,Chicago
93-2478411,"Standish Management US, LLC",1,1,Chicago
93-2228461,Numi Studio Inc.,1,1,Chicago
93-2065079,"BigScoots, LLC",1,1,Chicago
93-1835219,Daydream,1,1,Chicago
93-1716477,Technofix IT Solutions LLC,1,1,Hoffman Estates
93-1388557,Pro Dental IL - Chad Wise PC,1,1,Lansing
93-1371701,"InNova Consulting, Inc.",1,1,Lincolnwood
93-1360446,Grid Link Holdings Inc.,1,1,Chicago
92-3858506,Top Tier Lessons Inc.,1,1,Chicago
92-3844167,"Apartment Shared Services, LLC",1,1,Chicago
92-3651770,AIMNext Consulting,1,1,Chicago
92-3514830,Value Technology Inc,1,1,Chicago
92-3472482,Innovim Technology Solutions Inc,1,1,Chicago
92-2932313,SOMIK CORP,1,1,Chicago
92-2776501,Peregrine Economics LLC,1,1,Chicago
92-2728362,"Nutshell Labs, Inc.",1,1,Mt. Prospect
92-2552935,"Spark Technologies, Inc.",1,1,Chicago
92-2518164,Tech Vista LLC,1,1,Arlington Heights
92-1949971,Asamanta Technologies LLC,1,1,Chicago
92-1944158,Bluescape LLC,1,1,Chicago
92-1889869,Twigoal Fashion Inc.,1,1,Elk Grove Village
92-1873490,Snowsoft LLC,1,1,Chicago
92-1810430,VBM STAFFING SOLUTIONS LLC,1,1,SCHAUMBURG
92-1801880,YelseSoft Technologies Inc.,1,1,Chicago
92-1632359,AMMIRISZ TECHNOLOGIES INC,1,1,LINCOLNWOOD
92-1520306,Chubby Cattle Chicago LLC,1,1,Chicago
92-1496972,Veeha IT Solutions LLC,1,1,Northbrook
92-1355509,Waverly Employment Services LLC,1,1,Chicago
92-1297303,Elysian Park Planning LLC,1,1,Chicago
92-1094427,STEM SOLUTIONS LLC,1,1,Chicago
92-1030529,CODEWISE ACADEMY LLC,1,1,DES PLAINES
92-0446895,Coinflow Labs Limited,1,1,Chicago
92-0336922,AMSCOT Technologies,1,1,Schaumburg
92-0248036,Maharlika PLLC,1,1,Chicago
91-2198647,"Blackhawk Network, Inc.",1,1,Chicago
91-0745357,"Shannon & Wilson, Inc.",1,1,Chicago
90-0983681,"Quicket Solutions, Inc.",1,1,Chicago
90-0958984,"Pluto, Inc.",1,1,Chicago
90-0820471,"Edible Brands, LLC",1,1,Chicago
90-0735560,SPINS LLC,1,1,Chicago
90-0722900,"Fooda, Inc.",1,1,Chicago
90-0641965,NASHnal Soil Testing LLC,1,1,Plainfield
90-0515932,"VNC Communications, Inc. dba Performics",1,1,Chicago
90-0077938,Infotrend Inc,1,1,Chicago
88-4420449,Huron Research,1,1,Chicago
88-4149655,SHIFA GLOBAL SOLUTIONS LLC,1,1,Chicago
88-4133817,Praana Inc.,1,1,Chicago
88-4107881,Belay Diagnostics LLC,1,1,Chicago
88-4048978,Whale Supply LLC,1,0,Northbrook
88-3950524,Comfortliv LLC,1,1,Chicago
88-3944951,"Avis Global IT Solutions, Inc",1,1,Chicago
88-3825106,Kameli Law P.C.,1,1,Chiacgo
88-3802064,"Global Homecare Services, Inc.",1,1,Chicago
88-3755523,V-Outsourcing LLC,1,1,Norridge
88-3550462,"Perplexity AI, Inc.",1,1,Chicago
88-3515479,Qualtrix Professional Services and Consulting Inc,1,1,Schaumburg
88-3417573,SV TEK GROUP INC.,1,1,CHICAGO
88-3330978,"Mas Tek IT, LLC",1,1,Chicago
88-3055193,SageArk LLC,1,1,Chicago
88-2946246,SHIMMER SMILE DENTISTRY LLC,1,1,Des Plaines
88-2893488,Aanvi Cloud Technologies Inc,1,1,Chicago
88-2812857,Digityx Solutions Inc.,1,1,Chicago
88-2703968,Perficientcorp INC,1,1,Arlington Heights
88-2684348,Quaking Aspen Inc.,1,1,Chicago
88-2608929,ARCANE SYSTEMS INC,1,1,CHICAGO
88-2243510,Teksolve IT Solutions LLC,1,1,Chicago
88-2002005,DIT Chicago Corp,1,1,Elk Grove Village
88-1962054,"MORNINGSIDE OPERATING GROUP, LLC",1,1,SCHAUMBURG
88-1509516,Altera Digital Health Inc.,1,1,Chicago
88-1343088,Bitbyte Solutions LLC,1,1,Northbrook
88-1214636,Elite IT Solutions Inc,1,1,Schaumburg
88-0981688,White Oak IT Solutions LLC,1,1,Chicago Heights
88-0920716,New Einsteins - Logan Square INC,1,1,CHICAGO
88-0893276,Broad Peak Systems Inc,1,1,Chicago
88-0891827,CVTech Innovations LLC,1,1,Desplaines
88-0817524,Geminisoft Solutions Inc.,1,1,Chicago
88-0712559,American Technology Experts Inc,1,1,Chicago
88-0623879,"Cosmic Healthcare, LLC",1,1,Evanston
88-0592704,RP Innovations LLC,1,1,Chicago
88-0294532,"Interactive Communications International, Inc.",1,1,Rolling Meadows
87-4634369,Metiz Technologies LLC,1,1,Chicago
87-4348310,Tek Rubix LLC,1,1,Des Plaines
87-4285692,"PlayMonster Group, LLC",1,1,Chicago
87-4204230,Shrive Solutions LLC,1,1,Chicago
87-4110793,Safwanayat Consulting Inc,1,1,Des Plaines
87-4080385,Destin IT Solutions Inc,1,1,Schaumburg
87-4075493,Forecastex LLC,1,1,Chicago
87-4069882,GET ONE GEEK LLC,1,1,FRANKLIN PARK
87-3893745,"IV Therapy Solutions, LLC",1,1,Lincolnwood
87-3865858,"MeTabi, Inc.",1,1,Rolling Meadows
87-3833203,Aveksha Prevention Services Inc.,1,1,Hoffman Estate
87-3691093,"MARKT-PILOT, Inc.",1,1,Chicago
87-3664263,Elivy Youth Performing Arts Institute,1,1,Chicago
87-3591199,OSS Global Inc.,1,1,Chicago
87-3513335,Corient Services LLC,1,1,Chicago
87-3354599,DOLPHINS IT SOLUTIONS LLC,1,1,Chicago
87-3210428,Finovax Technologies Inc.,1,1,Chicago
87-3170180,Luo & Long General Partner LLC,1,1,Chicago
87-3133139,.Design Group JEDI Incorporated,1,0,Chicago
